03-12-2018 12:10:31 AM - INFO -  [ ------ EXPERIMENT: RESNET_041218 ------ ] 

03-12-2018 12:10:31 AM - INFO -  --- PARAMETERS: --- 
03-12-2018 12:10:31 AM - INFO - Predefined metrics: [val_loss], f2, average_precision, average_recall, hamming_score
03-12-2018 12:10:31 AM - INFO - Predefined architecutres: resnet18, resnet34
03-12-2018 12:10:31 AM - INFO - Predefined batch sizes: 8, 16
03-12-2018 12:10:31 AM - INFO - Predefined image sizes: 64, 128, 256, 512
03-12-2018 12:10:31 AM - INFO - Dropout: 0.5
03-12-2018 12:10:31 AM - INFO - Earlystopping after: 12 epochs.
03-12-2018 12:10:31 AM - INFO - Log every 1 epochs.
03-12-2018 12:10:31 AM - INFO - GPU: 1 | Available: 4 

03-12-2018 12:10:31 AM - INFO -     ----- *** RESNET18 *** ----- 

03-12-2018 12:11:08 AM - INFO -  Learning rate = 0.025021
03-12-2018 12:11:08 AM - INFO -  Learning rates = [0.003128, 0.006255, 0.012511, 0.025021] 

03-12-2018 12:11:08 AM - INFO -  --- Batch: 8 | Img size: 64 --- 
 
03-12-2018 12:11:08 AM - INFO -  --- Type: FREEZE --- 
03-12-2018 12:11:08 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 01:32:58 AM - INFO - 9, 0.323393, 0.802928, 0.428946, 0.439878, 0.630083
03-12-2018 01:33:37 AM - INFO - 10, 0.321262, 0.793641, 0.393544, 0.434082, 0.619667
03-12-2018 01:34:16 AM - INFO - 11, 0.318787, 0.800582, 0.404265, 0.43398, 0.623
03-12-2018 01:34:55 AM - INFO - 12, 0.316666, 0.808928, 0.401762, 0.434558, 0.618833
03-12-2018 01:35:35 AM - INFO - 13, 0.318013, 0.806505, 0.399932, 0.428463, 0.617583
03-12-2018 01:36:14 AM - INFO - 14, 0.316876, 0.804999, 0.416388, 0.440748, 0.628833
03-12-2018 01:36:53 AM - INFO - 15, 0.317344, 0.811097, 0.413503, 0.439252, 0.638
03-12-2018 01:37:32 AM - INFO - 16, 0.319811, 0.809687, 0.413075, 0.436612, 0.620917
03-12-2018 01:38:11 AM - INFO - 17, 0.313903, 0.803392, 0.416837, 0.44551, 0.631333
03-12-2018 01:38:51 AM - INFO - 18, 0.316038, 0.806414, 0.404041, 0.430313, 0.621333
03-12-2018 01:39:30 AM - INFO - 19, 0.311118, 0.811595, 0.423109, 0.443279, 0.632167
03-12-2018 01:40:09 AM - INFO - 20, 0.317497, 0.807118, 0.407313, 0.43585, 0.62925
03-12-2018 01:40:48 AM - INFO - 21, 0.309758, 0.811934, 0.419503, 0.443946, 0.63925
03-12-2018 01:41:27 AM - INFO - 22, 0.313121, 0.810225, 0.400776, 0.433932, 0.613417
03-12-2018 01:42:06 AM - INFO - 23, 0.308154, 0.808734, 0.425585, 0.447279, 0.645083
03-12-2018 01:42:46 AM - INFO - 24, 0.306037, 0.813007, 0.431197, 0.436748, 0.618833
03-12-2018 01:43:25 AM - INFO - 25, 0.314358, 0.80568, 0.39549, 0.439469, 0.618417
03-12-2018 01:44:04 AM - INFO - 26, 0.307575, 0.810058, 0.421177, 0.448503, 0.628833
03-12-2018 01:44:43 AM - INFO - 27, 0.304269, 0.812875, 0.418782, 0.43449, 0.622583
03-12-2018 01:45:23 AM - INFO - 28, 0.307546, 0.808667, 0.407803, 0.437755, 0.621333
03-12-2018 01:46:01 AM - INFO - 29, 0.3095, 0.809547, 0.412803, 0.443265, 0.613417
03-12-2018 01:46:41 AM - INFO - 30, 0.309097, 0.808648, 0.404905, 0.441088, 0.632583
03-12-2018 01:47:20 AM - INFO - 31, 0.304878, 0.816415, 0.417184, 0.428884, 0.616333
03-12-2018 01:47:59 AM - INFO - 32, 0.312237, 0.808287, 0.411415, 0.443782, 0.62925
03-12-2018 01:48:39 AM - INFO - 33, 0.309066, 0.811081, 0.411701, 0.448231, 0.627167
03-12-2018 01:49:17 AM - INFO - 34, 0.30532, 0.820248, 0.442218, 0.440211, 0.620917
03-12-2018 01:49:56 AM - INFO - 35, 0.304038, 0.809946, 0.418565, 0.439469, 0.638
03-12-2018 01:50:36 AM - INFO - 36, 0.301083, 0.814302, 0.433095, 0.446898, 0.632167
03-12-2018 01:51:15 AM - INFO - 37, 0.303734, 0.809029, 0.407939, 0.437565, 0.622167
03-12-2018 01:51:55 AM - INFO - 38, 0.304091, 0.816321, 0.42481, 0.438898, 0.626333
03-12-2018 01:52:33 AM - INFO - 39, 0.301107, 0.81198, 0.414476, 0.445184, 0.62675
03-12-2018 01:53:12 AM - INFO - 40, 0.300583, 0.821979, 0.425456, 0.433306, 0.623
03-12-2018 01:53:52 AM - INFO - 41, 0.303319, 0.811257, 0.420796, 0.455823, 0.645917
03-12-2018 01:54:31 AM - INFO - 42, 0.30138, 0.812113, 0.419361, 0.450803, 0.635083
03-12-2018 01:55:10 AM - INFO - 43, 0.300829, 0.81513, 0.418327, 0.426299, 0.618833
03-12-2018 01:55:49 AM - INFO - 44, 0.296539, 0.819391, 0.428769, 0.449946, 0.637167
03-12-2018 01:56:28 AM - INFO - 45, 0.296999, 0.815222, 0.425993, 0.452803, 0.635917
03-12-2018 01:57:08 AM - INFO - 46, 0.304979, 0.811714, 0.431401, 0.447796, 0.6255
03-12-2018 01:57:47 AM - INFO - 47, 0.302587, 0.81208, 0.416721, 0.442463, 0.62675
03-12-2018 01:58:26 AM - INFO - 48, 0.296852, 0.815054, 0.423259, 0.442136, 0.630917
03-12-2018 01:59:05 AM - INFO - 49, 0.295831, 0.818512, 0.420837, 0.443088, 0.63425
03-12-2018 01:59:45 AM - INFO - 50, 0.295772, 0.820156, 0.422456, 0.435279, 0.628417
03-12-2018 02:00:25 AM - INFO - 51, 0.299999, 0.818617, 0.41651, 0.440279, 0.618833
03-12-2018 02:01:04 AM - INFO - 52, 0.298058, 0.81682, 0.424143, 0.450422, 0.633
03-12-2018 02:01:43 AM - INFO - 53, 0.298747, 0.812959, 0.425789, 0.439088, 0.630083
03-12-2018 02:02:22 AM - INFO - 54, 0.294787, 0.817643, 0.429605, 0.44532, 0.640917
03-12-2018 02:03:01 AM - INFO - 55, 0.298497, 0.813551, 0.41266, 0.442327, 0.623833
03-12-2018 02:03:40 AM - INFO - 56, 0.301047, 0.81663, 0.415769, 0.435932, 0.628417
03-12-2018 02:04:20 AM - INFO - 57, 0.296473, 0.815827, 0.433735, 0.449755, 0.644667
03-12-2018 02:04:58 AM - INFO - 58, 0.294781, 0.817081, 0.428211, 0.463986, 0.653
03-12-2018 02:05:38 AM - INFO - 59, 0.294164, 0.821073, 0.42383, 0.446898, 0.63675
03-12-2018 02:06:17 AM - INFO - 60, 0.294685, 0.819151, 0.419762, 0.45732, 0.642167
03-12-2018 02:06:56 AM - INFO - 61, 0.296728, 0.818456, 0.434041, 0.445265, 0.643
03-12-2018 02:07:35 AM - INFO - 62, 0.296636, 0.81224, 0.421537, 0.460803, 0.6455
03-12-2018 02:08:14 AM - INFO - 63, 0.302057, 0.818795, 0.435184, 0.432265, 0.628833
03-12-2018 02:08:53 AM - INFO - 64, 0.294247, 0.824524, 0.430449, 0.442748, 0.637167
03-12-2018 02:09:33 AM - INFO - 65, 0.302258, 0.807621, 0.420551, 0.447088, 0.64425
03-12-2018 02:10:12 AM - INFO - 66, 0.30387, 0.811058, 0.427571, 0.442707, 0.606333
03-12-2018 02:10:50 AM - INFO - 67, 0.302656, 0.809328, 0.413789, 0.458476, 0.645917
03-12-2018 02:11:30 AM - INFO - 68, 0.302007, 0.814173, 0.429163, 0.448612, 0.633
03-12-2018 02:12:09 AM - INFO - 69, 0.293357, 0.818491, 0.425415, 0.447592, 0.632167
03-12-2018 02:12:48 AM - INFO - 70, 0.301163, 0.815509, 0.432932, 0.441184, 0.646333
03-12-2018 02:13:27 AM - INFO - 71, 0.297413, 0.814223, 0.430395, 0.45566, 0.643417
03-12-2018 02:14:07 AM - INFO - 72, 0.297127, 0.820478, 0.430769, 0.44466, 0.627583
03-12-2018 02:14:46 AM - INFO - 73, 0.297224, 0.819422, 0.424408, 0.435122, 0.62675
03-12-2018 02:15:25 AM - INFO - 74, 0.294979, 0.82197, 0.42715, 0.442136, 0.62925
03-12-2018 02:16:04 AM - INFO - 75, 0.303763, 0.815002, 0.422755, 0.456422, 0.6255
03-12-2018 02:16:43 AM - INFO - 76, 0.296824, 0.818664, 0.430986, 0.446231, 0.626333
03-12-2018 02:17:21 AM - INFO - 77, 0.295584, 0.82026, 0.414007, 0.441898, 0.62925
03-12-2018 02:18:01 AM - INFO - 78, 0.296363, 0.813307, 0.432259, 0.450844, 0.629667
03-12-2018 02:18:40 AM - INFO - 79, 0.298338, 0.814281, 0.414007, 0.446259, 0.637167
03-12-2018 02:19:19 AM - INFO - 80, 0.29476, 0.817536, 0.420286, 0.441265, 0.622583
03-12-2018 02:19:58 AM - INFO - 81, 0.295277, 0.813215, 0.42551, 0.447687, 0.64425
03-12-2018 02:20:37 AM - INFO - *** Earlystopping! ***
03-12-2018 02:20:37 AM - INFO - [ Saved model: best_resnet18_imgsize128_batch8_freeze.h5 ] 
03-12-2018 02:20:37 AM - INFO - [ Results: [0.29336] 0.8184911885714904 0.42541496598639456 0.44759183673469394 0.6321666666666665 ]

03-12-2018 02:20:37 AM - INFO -  --- Type: UNFREEZE --- 
03-12-2018 02:20:37 AM - INFO - epoch, val_loss, f2, average_precision, average_recall, hamming_score
03-12-2018 02:21:23 AM - INFO - 0, 0.290503, 0.825605, 0.429932, 0.46117, 0.6655
03-12-2018 02:22:10 AM - INFO - 1, 0.2876, 0.82122, 0.428653, 0.448497, 0.676167
03-12-2018 02:22:57 AM - INFO - 2, 0.263762, 0.840858, 0.440469, 0.460565, 0.701333
03-12-2018 02:23:44 AM - INFO - 3, 0.275844, 0.830911, 0.459197, 0.463041, 0.67175
03-12-2018 02:24:31 AM - INFO - 4, 0.269553, 0.82945, 0.443374, 0.454844, 0.703
03-12-2018 02:25:18 AM - INFO - 5, 0.254048, 0.837854, 0.472571, 0.492558, 0.722167
03-12-2018 02:26:05 AM - INFO - 6, 0.250326, 0.852558, 0.477741, 0.493891, 0.727583
03-12-2018 02:26:52 AM - INFO - 7, 0.395167, 0.753328, 0.453626, 0.451748, 0.589083
03-12-2018 02:27:39 AM - INFO - 8, 0.263246, 0.832316, 0.485347, 0.513701, 0.752583
03-12-2018 02:28:25 AM - INFO - 9, 0.252959, 0.840752, 0.476939, 0.485633, 0.723833
03-12-2018 02:29:11 AM - INFO - 10, 0.239211, 0.867165, 0.510218, 0.490095, 0.742583
03-12-2018 02:29:58 AM - INFO - 11, 0.237946, 0.864552, 0.497565, 0.499878, 0.735083
03-12-2018 02:30:46 AM - INFO - 12, 0.235421, 0.86017, 0.505986, 0.507361, 0.73175
03-12-2018 02:31:32 AM - INFO - 13, 0.23009, 0.867862, 0.499565, 0.495075, 0.740917
03-12-2018 02:32:18 AM - INFO - 14, 0.237172, 0.861434, 0.503796, 0.51098, 0.733417
03-12-2018 02:33:05 AM - INFO - 15, 0.29847, 0.827173, 0.457565, 0.452653, 0.66925
03-12-2018 02:33:52 AM - INFO - 16, 0.255672, 0.843026, 0.476286, 0.517605, 0.722583
03-12-2018 02:34:38 AM - INFO - 17, 0.265972, 0.832519, 0.485592, 0.512367, 0.703833
