,measure_name,clf,anomaly,mean,std
133,recall,RFC,Artifact,0.48441558441558435,0.1292263988278231
134,recall,RFC,Background ring,0.860992032319605,0.018981460167976156
135,recall,RFC,Diffuse scattering,0.06097883597883598,0.0379263045911274
136,recall,RFC,Ice ring,0.18463203463203465,0.07177427384037138
137,recall,RFC,Loop scattering,0.6448787878787879,0.04939684383667253
138,recall,RFC,Non-uniform detector,0.08571428571428572,0.035634832254989916
139,recall,RFC,Strong background,0.9319283746556474,0.022621569217045515
140,recall_macro,DTC,Artifact,0.7384953142095999,0.04517634644367022
141,recall_macro,DTC,Background ring,0.6563382020957806,0.03633868603136746
142,recall_macro,DTC,Diffuse scattering,0.5811445279866331,0.037093121094083796
143,recall_macro,DTC,Ice ring,0.6520075796816189,0.052399285789044785
144,recall_macro,DTC,Loop scattering,0.625545368943674,0.02616860527593071
145,recall_macro,DTC,Non-uniform detector,0.5783000060049239,0.05264536278672619
146,recall_macro,DTC,Strong background,0.8614386129334584,0.025565854313605526
147,recall_macro,GaussianNB,Artifact,0.7731838399695541,0.053441796050303574
148,recall_macro,GaussianNB,Background ring,0.5807967984608167,0.03753718456097743
149,recall_macro,GaussianNB,Diffuse scattering,0.6283764967975494,0.04007264916004662
150,recall_macro,GaussianNB,Ice ring,0.6454492872368144,0.06571201858348842
151,recall_macro,GaussianNB,Loop scattering,0.650942732408834,0.029824076427295215
152,recall_macro,GaussianNB,Non-uniform detector,0.6564519906323186,0.031499068836143666
153,recall_macro,GaussianNB,Strong background,0.8396142540683309,0.02516840464498529
154,recall_macro,KNN,Artifact,0.7278381142666857,0.06719795425512497
155,recall_macro,KNN,Background ring,0.6847222973365802,0.034902755012913955
156,recall_macro,KNN,Diffuse scattering,0.5596707045391256,0.0308798576224367
157,recall_macro,KNN,Ice ring,0.5160276362506239,0.02634445801736298
158,recall_macro,KNN,Loop scattering,0.6965249101181304,0.02766895176790519
159,recall_macro,KNN,Non-uniform detector,0.5856470305650632,0.034183527332599314
160,recall_macro,KNN,Strong background,0.8692699724517906,0.028030763584947636
161,recall_macro,QuadraticDisciminantAnalysis,Artifact,0.5,0.0
162,recall_macro,QuadraticDisciminantAnalysis,Background ring,0.5346689811653752,0.025202264017648777
163,recall_macro,QuadraticDisciminantAnalysis,Diffuse scattering,0.5,0.0
164,recall_macro,QuadraticDisciminantAnalysis,Ice ring,0.5,0.0
165,recall_macro,QuadraticDisciminantAnalysis,Loop scattering,0.507349683273412,0.029744623445913727
166,recall_macro,QuadraticDisciminantAnalysis,Non-uniform detector,0.5099705758722152,0.03906686634791028
167,recall_macro,QuadraticDisciminantAnalysis,Strong background,0.5625766805827724,0.03259566991267329
168,recall_macro,RFC,Artifact,0.7340379858237001,0.06628772447675287
169,recall_macro,RFC,Background ring,0.749866354656647,0.023117468636688968
170,recall_macro,RFC,Diffuse scattering,0.5262719298245614,0.018710048211088414
171,recall_macro,RFC,Ice ring,0.5892573826946561,0.03575039019927613
172,recall_macro,RFC,Loop scattering,0.7232868515665126,0.022301246452146456
173,recall_macro,RFC,Non-uniform detector,0.537379150903741,0.01889038424723615
174,recall_macro,RFC,Strong background,0.9190569708329784,0.011991293658936971
175,roc_auc,DTC,Artifact,0.7384953142095999,0.04517634644367019
176,roc_auc,DTC,Background ring,0.6563382020957808,0.03633868603136741
177,roc_auc,DTC,Diffuse scattering,0.5811445279866331,0.037093121094083775
178,roc_auc,DTC,Ice ring,0.6520075796816188,0.05239928578904477
179,roc_auc,DTC,Loop scattering,0.625545368943674,0.026168605275930727
180,roc_auc,DTC,Non-uniform detector,0.5783000060049239,0.0526453627867262
